+--------+-----------+----------------------------------------------------+-------------------------------+------------------------------------------------------------------------+--------------+
| Domain | Method    | URI                                                | Name                          | Action                                                                 | Middleware   |
+--------+-----------+----------------------------------------------------+-------------------------------+------------------------------------------------------------------------+--------------+
|        | GET|HEAD  | etud_ins_mats/{etud_ins_mat}                       | etud_ins_mats.show            | App\Http\Controllers\Etud_ins_matsController@show                      | web,auth     |
|        | GET|HEAD  | etud_ins_mats/{etud_ins_mat}/edit                  | etud_ins_mats.edit            | App\Http\Controllers\Etud_ins_matsController@edit                      | web,auth     |
|        | GET|HEAD  | etud_realise_activs                                | etud_realise_activs.index     | App\Http\Controllers\Etud_realise_activsController@index               | web,auth     |
|        | POST      | etud_realise_activs                                | etud_realise_activs.store     | App\Http\Controllers\Etud_realise_activsController@store               | web,auth     |
|        | GET|HEAD  | etud_realise_activs/create                         | etud_realise_activs.create    | App\Http\Controllers\Etud_realise_activsController@create              | web,auth     |
|        | GET|HEAD  | etud_realise_activs/{etud_realise_activ}           | etud_realise_activs.show      | App\Http\Controllers\Etud_realise_activsController@show                | web,auth     |
|        | PUT|PATCH | etud_realise_activs/{etud_realise_activ}           | etud_realise_activs.update    | App\Http\Controllers\Etud_realise_activsController@update              | web,auth     |
|        | DELETE    | etud_realise_activs/{etud_realise_activ}           | etud_realise_activs.destroy   | App\Http\Controllers\Etud_realise_activsController@destroy             | web,auth     |
|        | GET|HEAD  | etud_realise_activs/{etud_realise_activ}/edit      | etud_realise_activs.edit      | App\Http\Controllers\Etud_realise_activsController@edit                | web,auth     |
|        | GET|HEAD  | etud_scolariser_class                              | etud_scolariser_class.index   | App\Http\Controllers\Etud_scolariser_classController@index             | web,auth     |
|        | POST      | etud_scolariser_class                              | etud_scolariser_class.store   | App\Http\Controllers\Etud_scolariser_classController@store             | web,auth     |
|        | GET|HEAD  | etud_scolariser_class/create                       | etud_scolariser_class.create  | App\Http\Controllers\Etud_scolariser_classController@create            | web,auth     |
